fid,id,o,d,value,timestamp,day_type,mode
1,24,1001214,42374,0.013262355,900,weekday,c
2,26,1001266,60232,12.440407,1035,weekday,c
3,43,42374,1001212,0.010348917,1320,weekday,c
4,88,1001213,60292,0.012695597,165,weekday,c
5,94,1001244,1001243,0.008446041,945,weekday,c
6,95,1001256,8,0.057722416,1305,weekday,c
7,115,1001207,1001218,0.15181921,990,weekday,c
8,124,1001211,16,0.34504664,75,weekday,c
9,132,10,1001253,0.14461756,1350,weekday,c
10,134,1001253,1001267,0.0007026371,45,weekday,c
11,139,1001255,1001253,0.28561518,525,weekday,c
12,140,1001253,1001203,0.036986656,90,weekday,c
13,144,1001208,1001212,0.59963745,840,weekday,c
14,160,1001207,60292,0.026658792,420,weekday,c
15,161,1001240,60232,0.00017372839,210,weekday,c
16,170,15,1001202,73.374214,810,weekday,c
17,171,60292,1001244,0.023991665,1095,weekday,c
18,176,60232,4,0.020857383,45,weekday,c
19,188,2,1001217,0.09381287,105,weekday,c
20,197,1001218,5,0.0016512563,330,weekday,c
21,210,1001254,60232,0.14123712,1395,weekday,c
22,231,1001207,1001205,0.06186958,480,weekday,c
23,241,1001205,1001204,0.022030905,1410,weekday,c
24,248,46751,1001218,0.22887631,1095,weekday,c
25,258,1001266,1001240,0.0025974454,225,weekday,c
26,268,1001214,1001212,1.0762281,435,weekday,c
27,274,11,12,3.4284625e-05,1275,weekday,c
28,281,14,1001255,0.07212006,1095,weekday,c
29,290,1001216,1001243,0.36339116,1185,weekday,c
30,303,1001255,1001205,0.30647537,990,weekday,c
31,307,6,1001241,13.583841,570,weekday,c
32,312,4,5,299.52582,1020,weekday,c
33,316,1001217,1001211,3.1761315,435,weekday,c
34,326,1001218,1001254,0.3471967,1110,weekday,c
35,328,1,1001203,2.613332,1320,weekday,c
36,335,1001214,13,0.019868327,120,weekday,c
37,343,60232,1001243,0.0064136297,75,weekday,c
38,345,1001208,1001213,0.10973569,795,weekday,c
39,347,1001202,5,0.000626942,225,weekday,c
40,349,3,5,115.4656,1185,weekday,c
41,360,1001240,1001203,0.0044445926,810,weekday,c
42,361,1001211,1001218,0.16194369,315,weekday,c
43,363,4,10,2.6678448,810,weekday,c
44,369,11,13,50.03521,900,weekday,c
