fid,id,from_node,via_node,to_node,modes,penalty
1,1,"42679","42829","42679","c,h",9999999
2,2,"42692","42829","42679","c,h",9999999
3,3,"42692","42829","42713","c,h",9999999
4,4,"45972","46538","46856","c,h",9999999
5,5,"46538","46876","46538","c,h",9999999
6,6,"47444","47443","47412","c,h",9999999
7,7,"49215","49441","48835","c,h",9999999
8,8,"49369","49550","49369","c,h",9999999
9,9,"50452","50778","50503","c,h",9999999
10,10,"50452","50778","50983","c,h",9999999
11,11,"49702","50973","56377","c,h",9999999
12,12,"52122","53040","52106","c,h",9999999
13,13,"50977","100060119","50977","c,h",9999999
14,14,"53191","53098","53047","c,h",9999999
15,15,"53098","53224","53098","c,h",9999999
16,16,"53224","50963","100060121","c,h",9999999
17,17,"53737","54118","53441","c,h",9999999
18,18,"54971","54736","54345","c,h",9999999
19,19,"54882","55248","55198","c,h",9999999
20,20,"55164","55200","55138","c,h",9999999
21,21,"55890","55960","55977","c,h",9999999
22,22,"55968","55570","54318","c,h",9999999
23,23,"55570","55922","55570","c,h",9999999
24,24,"55932","55977","55922","c,h",9999999
25,25,"55922","55977","55922","c,h",9999999
26,26,"56032","55922","55570","c,h",9999999
27,27,"55977","55960","55977","c,h",9999999
28,28,"55960","56147","55960","c,h",9999999
29,29,"56399","56418","56261","c,h",9999999
30,30,"50973","56809","50973","c,h",9999999
31,31,"58113","57643","57512","c,h",9999999
32,32,"58532","58479","58445","c,h",9999999
33,33,"59221","59253","59244","c,h",9999999
34,34,"59244","59253","59244","c,h",9999999
35,35,"59290","59416","59290","c,h",9999999
36,36,"59290","59417","59290","c,h",9999999
37,37,"60436","60157","60436","c,h",9999999
38,38,"61386","61720","61222","c,h",9999999
39,39,"59183","59244","59183","c,h",9999999
40,40,"61187","61325","61187","c,h",9999999
41,41,"61187","61270","61187","c,h",9999999
42,42,"58113","57643","57512","c,h",9999999
43,43,"58532","58479","58445","c,h",9999999
44,44,"59221","59253","59244","c,h",9999999
45,45,"59244","59253","59244","c,h",9999999
46,46,"59290","59416","59290","c,h",9999999
47,47,"59290","59417","59290","c,h",9999999
48,48,"60436","60157","60436","c,h",9999999
49,49,"61386","61720","61222","c,h",9999999
50,50,"49550","49614","49550","c,h",9999999
51,51,"58125","57962","57992","c,h",9999999
52,52,"58104","57824","57962","c,h",9999999
53,53,"40973","42134","40973","c,h",9999999
54,54,"47356","48834","47356","c,h",9999999
55,55,"49040","49318","49357","c,h",9999999
56,56,"49357","49428","49519","c,h",9999999
57,57,"49519","49518","49531","c,h",9999999
58,58,"49428","49518","49490","c,h",9999999
59,59,"49421","49428","49518","c,h",9999999
