WKT,id,from_node,to_node,length,v0,connector,lanes,alpha,rcr,capacity,modes
"MULTILINESTRING ((12.4808536519328 41.8273556016325,12.4807596484396 41.8273606012908))",214333,"59003","58341",0.007829000000000,60.067999999999998,0,2.000000000000000,1.600000000000000,30.000000000000000,4116.000000000000000,"c,h"
"MULTILINESTRING ((12.4803446142669 41.8298756266089,12.4804206171963 41.8298576267349))",74334,"58745","58771",0.006622000000000,48.868000000000002,0,1.000000000000000,1.600000000000000,30.000000000000000,1945.006000000000085,"c,h"
"MULTILINESTRING ((12.4887170565839 41.8119674692127,12.4886420543082 41.8119034682096))",-79004,"62144","62132",0.009453000000000,44.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1945.006000000000085,"c,h"
"MULTILINESTRING ((12.4646150757479 41.8246025036345,12.4644300685409 41.8246565034356))",-65091,"51984","51723",0.016498000000000,44.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1845.770999999999958,"c,h"
"MULTILINESTRING ((12.47343038481 41.8265905621573,12.4729703669819 41.8267125615329))",-70118,"55648","55622",0.040546000000000,54.468000000000004,0,2.000000000000000,1.600000000000000,30.000000000000000,2929.500000000000000,"c,h"
"MULTILINESTRING ((12.4193025500081 41.8061461138287,12.4189815430797 41.8055031055637))",48478,"39094","38967",0.076237000000000,60.700000000000003,0,2.000000000000000,1.600000000000000,30.000000000000000,3675.000000000000000,"c,h"
"MULTILINESTRING ((12.4241896962057 41.8105551818803,12.4246747111972 41.8109291879514))",49867,"40113","40192",0.057878000000000,60.700000000000003,0,2.000000000000000,1.600000000000000,30.000000000000000,3601.500000000000000,"c,h"
"MULTILINESTRING ((12.4476116251937 41.8014801834127,12.4481086430824 41.8015291860369))",58168,"46518","46871",0.041662000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1877.387500000000045,"c,h"
"MULTILINESTRING ((12.4671671869576 41.8222914895313,12.4683642418795 41.8208404789692))",66570,"52758","53083",0.189377000000000,47.468000000000004,0,1.000000000000000,1.600000000000000,30.000000000000000,1745.970370000000003,"c,h"
"MULTILINESTRING ((12.485334852922 41.8225315685824,12.4853198558803 41.8220645634962))",77424,"60435","60631",0.051885000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4600939770023 41.8156533883437,12.4592969480292 41.8156113845316,12.4580379012114 41.815684380007))",218101,"100060222","10061802",0.171312000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4476795442832 41.8125403025074,12.4480765572947 41.8127493064296))",58198,"46636","46892",0.040337000000000,41.700000000000003,0,1.000000000000000,1.600000000000000,30.000000000000000,1795.261999999999944,"c,h"
"MULTILINESTRING ((12.4476465427613 41.8125813028087,12.4476795442832 41.8125403025074))",58187,"46873","46636",0.005315000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4269607798266 41.8129612194598,12.4272507888644 41.8131752229866,12.4272917897963 41.8132512239768))",50657,"40602","40832",0.042950000000000,59.299999999999997,0,2.000000000000000,1.600000000000000,30.000000000000000,3344.250000000000000,"c,h"
"MULTILINESTRING ((12.4705603921748 41.8115943888188,12.4710474125913 41.8112593872695))",68748,"54127","54655",0.054974000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4710844141391 41.8112343871567,12.4711284162676 41.8111663866112,12.4711564176877 41.8111143861703,12.471180418991 41.8110583856695,12.4711954203622 41.8109493845613))",68851,"54699","54733",0.033320000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4845809096198 41.8112974446244,12.4846509115762 41.8113794458))",76944,"60668","60725",0.010807000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4549017304893 41.8230424458951,12.4547907290789 41.8226884416194,12.4548687322173 41.8226524415614))",61163,"49134","49125",0.048001000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4682012608602 41.8175234426151,12.468254263591 41.8174194417202,12.4684322713976 41.8172514406638,12.4685762773899 41.8171584402705,12.4687492840868 41.8171134405155,12.4688802890744 41.81709044082))",67128,"53294","53476",0.078377000000000,44.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1945.006000000000085,"c,h"
"MULTILINESTRING ((12.4757935714374 41.8133284294874,12.4757995720264 41.813279428986,12.475810572769 41.8132344285486,12.4758265736804 41.8131914281537,12.4758665756016 41.8131314276772))",71778,"56818","56847",0.022949000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4835558246354 41.8175945080064,12.4832918144513 41.8176585075842))",76400,"60237","60162",0.023058000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4720812662757 41.835747655031,12.4721692683892 41.8358966570058))",69609,"55068","55211",0.018092000000000,68.468000000000004,0,3.000000000000000,1.600000000000000,30.000000000000000,5370.750000000000000,"c,h"
"MULTILINESTRING ((12.4799144862352 41.8447897853948,12.4799804881882 41.8448527863513))",74051,"58285","58309",0.008889000000000,47.468000000000004,0,1.000000000000000,1.600000000000000,30.000000000000000,1745.970370000000003,"c,h"
"MULTILINESTRING ((12.4802374819455 41.8469378098988,12.4804194886993 41.8469298105785))",74431,"58634","58619",0.015141000000000,47.468000000000004,0,1.000000000000000,1.600000000000000,30.000000000000000,1745.970370000000003,"c,h"
"MULTILINESTRING ((12.4875640077148 41.8128324736638,12.488258028789 41.8134224829229))",78548,"61899","61935",0.087292000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4550397902074 41.8157943685437,12.4549727869537 41.8158993693897,12.4548147806121 41.8159703694864,12.4546377741376 41.8159663686966))",214872,"10061800","10061792",0.042951000000000,47.468000000000004,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4602439947117 41.8140343715735,12.4602849976272 41.8138473697364))",217935,"1058889","100060167",0.021048000000000,53.700000000000003,0,1.000000000000000,1.600000000000000,30.000000000000000,2150.083250000000135,"c,h"
"MULTILINESTRING ((12.4264557637965 41.8126272137337,12.4266087686999 41.812722215402,12.4268027747923 41.8128592176951,12.4269607798266 41.8129612194598))",50347,"39561","40602",0.056031000000000,59.299999999999997,0,2.000000000000000,1.600000000000000,30.000000000000000,3344.250000000000000,"c,h"
"MULTILINESTRING ((12.4261197564108 41.8119712052629,12.4270367846832 41.8126882168479))",50380,"40283","40625",0.110219000000000,52.299999999999997,0,1.000000000000000,1.600000000000000,30.000000000000000,1945.006000000000085,"c,h"
"MULTILINESTRING ((12.4408182923619 41.8125152732605,12.4411013003905 41.8128292778306,12.4411403014838 41.812874278479))",55176,"42729","44579",0.048020000000000,47.468000000000004,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4408182923619 41.8125152732605,12.4409482963915 41.8126142748737,12.4410743006741 41.8126602759004,12.4411953050448 41.8126702765191,12.441302308984 41.8126692769604,12.4414423141661 41.8126642774982))",55177,"42729","44580",0.057717000000000,47.468000000000004,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.44761254118 41.812625303138,12.4467585131939 41.8121752946963))",58169,"46872","46611",0.086798000000000,39.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1795.261999999999944,"c,h"
"MULTILINESTRING ((12.4499386896484 41.8042702231964,12.4512197312616 41.8049932363678,12.4517397475699 41.805364242547,12.4520897587331 41.8055892464406,12.4523977688131 41.8057532495018,12.4527117792192 41.8059032524379,12.4529137860379 41.8059832541496,12.4530747915236 41.8060402554411))",59147,"47533","47625",0.327577000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4501786655043 41.8086422711724,12.4511226986365 41.8088482773697,12.4518237231195 41.8090172821437,12.452011729884 41.8090362831411,12.452083732537 41.8090352834342))",59230,"47494","47683",0.164664000000000,44.700000000000003,0,1.000000000000000,1.600000000000000,30.000000000000000,2494.393999999999778,"c,h"
"MULTILINESTRING ((12.4504457311674 41.8012331927223,12.4507007416733 41.8010821921771,12.4511597602236 41.8008581917088,12.4513877700089 41.800671190663,12.4516117797978 41.8004641893857,12.4518437897976 41.8002681882601,12.4520948009173 41.8000161866135,12.4522818094221 41.7997991850727,12.452470817842 41.7996031837657,12.4526588264361 41.799379182154,12.4528048334948 41.7991541803544,12.4529018386931 41.7989371784339,12.4530018446043 41.7986401756673,12.4530818505041 41.7982471717857))",59542,"47845","47906",0.410527000000000,52.299999999999997,0,1.000000000000000,1.600000000000000,30.000000000000000,1984.700000000000045,"c,h"
"MULTILINESTRING ((12.4504457311674 41.8012331927223,12.4524308062828 41.8009421979738))",59543,"47845","47907",0.168108000000000,105.000000000000000,0,3.000000000000000,1.600000000000000,30.000000000000000,7500.937500000000000,"c,h"
"MULTILINESTRING ((12.4506947044497 41.8059912448718,12.451739737507 41.8066992568869))",59566,"46753","47922",0.117155000000000,59.299999999999997,0,2.000000000000000,1.600000000000000,30.000000000000000,3344.250000000000000,"c,h"
"MULTILINESTRING ((12.4508536156876 41.8185373803682,12.4520006534745 41.8191163914345))",59624,"47939","47964",0.114969000000000,50.100000000000001,0,2.000000000000000,1.600000000000000,30.000000000000000,3087.000000000000000,"c,h"
"MULTILINESTRING ((12.451118581313 41.8243854443754,12.4521676252561 41.8236714411232))",59717,"47661","48038",0.117832000000000,45.700000000000003,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.45126559853 41.8228194281526,12.4518276159953 41.8232424350741))",59780,"47869","48089",0.066238000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4588389665487 41.8109193321721,12.4588719668723 41.8110373335792,12.4590809714033 41.8114553389524,12.4594739812417 41.8120663471756,12.4598209894428 41.8126703551299))",62803,"49929","50325",0.211291000000000,57.899999999999999,0,2.000000000000000,1.600000000000000,30.000000000000000,3087.000000000000000,"c,h"
"MULTILINESTRING ((12.4592359803307 41.8110263349959,12.4592759816574 41.8110453353687,12.4594379870603 41.8111183368362,12.4595639910801 41.811199338238,12.4596759944198 41.811302339817,12.459791997673 41.8114363417461,12.4598619992961 41.8115623433953,12.4599230005056 41.8116993451248,12.4599730010172 41.811875347227,12.4600170013685 41.812043349218,12.4600520012761 41.8122263513322,12.4601010004628 41.812573355268,12.4601210006704 41.8126433561047,12.4601610010329 41.8127903578532,12.4602270021325 41.812966360023,12.4603520049557 41.8132013630757,12.4606230114492 41.8136613691623))",62835,"50326","50349",0.324259000000000,59.299999999999997,0,2.000000000000000,1.600000000000000,30.000000000000000,3344.250000000000000,"c,h"
"MULTILINESTRING ((12.4615430411752 41.8142033788665,12.461832051306 41.8142683807835,12.4621990651167 41.8142253818684,12.4653481951142 41.812329374762))",63819,"50895","51050",0.391819000000000,47.299999999999997,0,1.000000000000000,1.600000000000000,30.000000000000000,2494.393999999999778,"c,h"
"MULTILINESTRING ((12.4616240292297 41.8161844005025,12.4616060287038 41.8161664002332,12.4612240195918 41.8155123915923))",63858,"51082","100060223",0.081769000000000,57.899999999999999,0,2.000000000000000,1.600000000000000,30.000000000000000,3087.000000000000000,"c,h"
"MULTILINESTRING ((12.4663212288523 41.8125973817421,12.467229256544 41.8133513936716))",66063,"52583","52699",0.112721000000000,47.299999999999997,0,1.000000000000000,1.600000000000000,30.000000000000000,2494.393999999999778,"c,h"
"MULTILINESTRING ((12.4695163485428 41.812294391945,12.469486346131 41.8124683936887,12.46948634507 41.8126093952041,12.4696023474364 41.8128613984011,12.4696593483798 41.8130144002857,12.4696833479298 41.8131914022892,12.4696273452322 41.8132764029669,12.4695843433058 41.8133224032802,12.4694833391502 41.8133814034889))",67983,"54104","53868",0.129560000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.473536492751 41.8127624139029,12.4736034954915 41.8127254137873,12.4737845029028 41.8126244134638,12.4738545056783 41.8125974134683))",70488,"55877","10061430",0.032226000000000,51.500000000000000,0,2.000000000000000,1.600000000000000,30.000000000000000,3344.250000000000000,"c,h"
"MULTILINESTRING ((12.473536492751 41.8127624139029,12.4736934995436 41.8126264131022,12.4737455020863 41.8125424124183,12.4738985093336 41.8123264107409))",70489,"55877","55934",0.057393000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4741675175041 41.8125544143238,12.4747755384561 41.8127394188716))",70699,"55933","56089",0.054540000000000,51.500000000000000,0,2.000000000000000,1.600000000000000,30.000000000000000,3344.250000000000000,"c,h"
"MULTILINESTRING ((12.4748915423956 41.8127824198221,12.4750365498902 41.812494417337,12.4759165796499 41.8128374247276,12.4757795726375 41.8131004269778))",71299,"56489","56516",0.147985000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4852099271687 41.8120384552332,12.4852529276296 41.8121874570155,12.4852599272483 41.8122724579585,12.4852499240563 41.8126484619578))",77359,"60956","61031",0.068160000000000,50.268000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,2150.083250000000135,"c,h"
