WKT,id,centroid,modes
"POINT (12.4346440071887 41.8202333301257)",42374,1,"c,h"
"POINT (12.4367302103189 41.8034871590022)",42574,1,"c,h"
"POINT (12.4367792122398 41.8034711590375)",43131,1,"c,h"
"POINT (12.4471826141763 41.8008511748478)",45938,1,"c,h"
"POINT (12.4475536276169 41.8008761766825)",46751,1,"c,h"
"POINT (12.4503127348286 41.8000991799851)",47386,1,"c,h"
"POINT (12.4502887347006 41.7999991788101)",47681,1,"c,h"
"POINT (12.4745436428297 41.7977232565923)",56061,1,"c,h"
"POINT (12.4853590426657 41.7973872984758)",59899,1,"c,h"
"POINT (12.4836799382173 41.8030823525729)",60232,1,"c,h"
"POINT (12.484713870751 41.8171215077903)",60292,1,"c,h"
"POINT (12.4719302016572 41.8435897388498)",1001201,1,"c,h"
"POINT (12.466185068174 41.8332686035029)",1001202,1,"c,h"
"POINT (12.4733413388647 41.832259622789)",1001203,1,"c,h"
"POINT (12.4725943768693 41.8235625260621)",1001204,1,"c,h"
"POINT (12.4633790220502 41.8256995102256)",1001205,1,"c,h"
"POINT (12.4582267629987 41.8349395879365)",1001206,1,"c,h"
"POINT (12.4640739448632 41.8393316598821)",1001207,1,"c,h"
"POINT (12.4684181140639 41.8380746646549)",1001208,1,"c,h"
"POINT (12.455683820801 41.814875361382)",1001211,1,"c,h"
"POINT (12.4268798106433 41.8084911710913)",1001212,1,"c,h"
"POINT (12.4473244311363 41.8258064436426)",1001213,1,"c,h"
"POINT (12.4469725361971 41.8101682740339)",1001214,1,"c,h"
"POINT (12.4760356043632 41.8101323961574)",1001216,1,"c,h"
"POINT (12.4730594365603 41.8179014671394)",1001217,1,"c,h"
"POINT (12.4677033372679 41.8049393052829)",1001218,1,"c,h"
"POINT (12.4781204475026 41.8411707388578)",1001239,1,"c,h"
"POINT (12.4623208634022 41.8415866767768)",1001240,1,"c,h"
"POINT (12.4803146399474 41.8263145881638)",1001241,1,"c,h"
"POINT (12.4390522102094 41.8148012903657)",1001242,1,"c,h"
"POINT (12.4381881380454 41.8201523442375)",1001243,1,"c,h"
"POINT (12.4537848147535 41.8064192625078)",1001244,1,"c,h"
"POINT (12.4496576150057 41.8128003136519)",1001253,1,"c,h"
"POINT (12.4361431314942 41.8110702379756)",1001254,1,"c,h"
"POINT (12.4420092997477 41.8173343300879)",1001255,1,"c,h"
"POINT (12.4429334252391 41.805205203662)",1001256,1,"c,h"
"POINT (12.4460124522582 41.8166183392994)",1001261,1,"c,h"
"POINT (12.4408633192346 41.8091742375522)",1001262,1,"c,h"
"POINT (12.4509975911692 41.8224894234723)",1001266,1,"c,h"
"POINT (12.4499627040087 41.8024822040958)",1001267,1,"c,h"
"POINT (12.4815156891582 41.8256415859759)",10061628,1,"c,h"
"POINT (12.4155823990507 41.8080351183606)",37633,0,"c,h"
"POINT (12.4175464714924 41.8079971262724)",37638,0,"c,h"
"POINT (12.4177894787703 41.8082151296433)",37639,0,"c,h"
"POINT (12.417365466394 41.8077921233038)",38248,0,"c,h"
"POINT (12.4177014772852 41.8079841267893)",38653,0,"c,h"
"POINT (12.418007490729 41.8076931249597)",38664,0,"c,h"
"POINT (12.4184815067886 41.80787212889)",38692,0,"c,h"
"POINT (12.4186325105582 41.8081071320538)",38701,0,"c,h"
"POINT (12.4204355998379 41.8050611069741)",38781,0,"c,h"
"POINT (12.4181925255407 41.8039900859744)",38792,0,"c,h"
"POINT (12.4194055687694 41.8041660930013)",38793,0,"c,h"
"POINT (12.4182305249244 41.8042560889917)",38858,0,"c,h"
"POINT (12.4185855126598 41.8076011264196)",38866,0,"c,h"
"POINT (12.4189565247463 41.8078051301821)",38901,0,"c,h"
"POINT (12.4195355446713 41.8079831345461)",38907,0,"c,h"
"POINT (12.4188785520649 41.8038150870005)",38941,0,"c,h"
"POINT (12.4199475706704 41.8065471208669)",38949,0,"c,h"
"POINT (12.4189815430797 41.8055031055637)",38967,0,"c,h"
"POINT (12.4198185650008 41.8066701216417)",38970,0,"c,h"
"POINT (12.4198565742863 41.8056271106008)",39004,0,"c,h"
"POINT (12.4220496442855 41.8070241348902)",39005,0,"c,h"
"POINT (12.4191455319017 41.8077771306818)",39018,0,"c,h"
"POINT (12.4204425742338 41.8084801437255)",39082,0,"c,h"
"POINT (12.4193025500081 41.8061461138287)",39094,0,"c,h"
"POINT (12.4201105687538 41.8075921327812)",39095,0,"c,h"
"POINT (12.4202565742916 41.8075691331524)",39150,0,"c,h"
"POINT (12.4203845791681 41.8075461334474)",39180,0,"c,h"
"POINT (12.4200015760278 41.8061011163055)",39209,0,"c,h"
"POINT (12.4205445786015 41.8083981432766)",39219,0,"c,h"
"POINT (12.4205205843839 41.8075171337117)",39247,0,"c,h"
"POINT (12.4213186013193 41.809154154675)",39262,0,"c,h"
"POINT (12.4213946053218 41.808994153278)",39295,0,"c,h"
"POINT (12.4227436378969 41.8112401831188)",39310,0,"c,h"
"POINT (12.4205755775013 41.8086941465875)",39311,0,"c,h"
"POINT (12.4214036214754 41.8069021308448)",39313,0,"c,h"
"POINT (12.4228306534971 41.8096001658676)",39328,0,"c,h"
"POINT (12.4215486052236 41.8097551621052)",39340,0,"c,h"
"POINT (12.4206405885429 41.8075501345743)",39375,0,"c,h"
"POINT (12.4212626108875 41.8076171379276)",39447,0,"c,h"
"POINT (12.4235897040534 41.8066021368769)",39467,0,"c,h"
