WKT,id
"MULTIPOLYGON (((12.3972296304025 41.8577436189622,12.421211149161 41.8206774415098,12.42146841853 41.8095336041811,12.3972296304025 41.7904818681673,12.3972296304025 41.8577436189622)))",1
"MULTIPOLYGON (((12.421211149161 41.8206774415098,12.4301172023976 41.8147885459864,12.4322972962788 41.8069582298244,12.4274055703757 41.797328865548,12.42146841853 41.8095336041811,12.421211149161 41.8206774415098)))",1001212
"MULTIPOLYGON (((12.4264908960507 41.782169048502,12.4330921496831 41.7922620996791,12.4402079611701 41.803090184391,12.4442905544953 41.8022792036993,12.4459944489414 41.7904314956363,12.4459781410139 41.788992711949,12.4448010711278 41.782169048502,12.4264908960507 41.782169048502)))",3
"MULTIPOLYGON (((12.4264289148563 41.782169048502,12.4274055703757 41.797328865548,12.4322972962788 41.8069582298244,12.4373907036132 41.8073525593048,12.4378988586508 41.806983255435,12.4330921496831 41.7922620996791,12.4264908960507 41.782169048502,12.4264289148563 41.782169048502)))",42574
"MULTIPOLYGON (((12.3972296304025 41.782169048502,12.3972296304025 41.7904818681673,12.42146841853 41.8095336041811,12.4274055703757 41.797328865548,12.4264289148563 41.782169048502,12.3972296304025 41.782169048502)))",2
"MULTIPOLYGON (((12.3972296304025 41.86211257812,12.41871018057 41.86211257812,12.4292144721675 41.8497994206583,12.4367032483952 41.8327603172686,12.4363456168427 41.8171095285988,12.4343361146654 41.8154787795691,12.4301172023976 41.8147885459864,12.421211149161 41.8206774415098,12.3972296304025 41.8577436189622,12.3972296304025 41.86211257812)))",42374
"MULTIPOLYGON (((12.4518099087008 41.86211257812,12.4607460573016 41.8385534572485,12.4606907171423 41.837747540091,12.4480642744342 41.8359969719218,12.4292144721675 41.8497994206583,12.41871018057 41.86211257812,12.4518099087008 41.86211257812)))",16
"MULTIPOLYGON (((12.4363456168427 41.8171095285988,12.4392383010752 41.8175766305911,12.4431465588548 41.8130141011953,12.4391478610083 41.8117270903925,12.4343361146654 41.8154787795691,12.4363456168427 41.8171095285988)))",1001242
"MULTIPOLYGON (((12.4391478610083 41.8117270903925,12.4373907036132 41.8073525593048,12.4322972962788 41.8069582298244,12.4301172023976 41.8147885459864,12.4343361146654 41.8154787795691,12.4391478610083 41.8117270903925)))",1001254
"MULTIPOLYGON (((12.4373907036132 41.8073525593048,12.4391478610083 41.8117270903925,12.4431465588548 41.8130141011953,12.4432983901363 41.8129927784359,12.4433875098871 41.8129311337315,12.4441321342205 41.8083547708996,12.4394174471903 41.8058957589082,12.4378988586508 41.806983255435,12.4373907036132 41.8073525593048)))",1001262
"MULTIPOLYGON (((12.4378988586508 41.806983255435,12.4394174471903 41.8058957589082,12.4402079611701 41.803090184391,12.4330921496831 41.7922620996791,12.4378988586508 41.806983255435)))",43131
