o,d,timestamp,value
1.0,3.0,0,1.4871814622861153
1.0,3.0,15,1.8187499011782202
1.0,3.0,30,2.2157525083647363
1.0,3.0,45,2.689280747772062
1.0,3.0,60,3.2520934306947673
1.0,3.0,75,3.9189946448763635
1.0,3.0,90,4.707433755676961
1.0,3.0,105,5.638470835319412
1.0,3.0,120,6.738312139977603
1.0,3.0,135,8.040683731551159
1.0,3.0,150,9.590356815850793
1.0,3.0,165,11.448131332049776
1.0,3.0,180,13.697475905185573
1.0,3.0,195,16.452755598355047
1.0,3.0,210,19.868505043457887
1.0,3.0,225,24.148509056443686
1.0,3.0,240,29.552589653846997
1.0,3.0,255,36.39812101174037
1.0,3.0,270,45.052668041892396
1.0,3.0,285,55.91412248173198
1.0,3.0,300,69.37565498248772
1.0,3.0,315,85.77495685450165
1.0,3.0,330,105.33058437564803
1.0,3.0,345,128.07231843779746
1.0,3.0,360,153.77645871382296
1.0,3.0,375,181.91971487928117
1.0,3.0,390,211.6656321887249
1.0,3.0,405,241.8944481505999
1.0,3.0,420,271.28082680001734
1.0,3.0,435,298.41495378526565
1.0,3.0,450,321.95283628327695
1.0,3.0,465,340.7737240519311
1.0,3.0,480,354.1186348888491
1.0,3.0,495,361.6854843184436
1.0,3.0,510,363.6633717892185
1.0,3.0,525,360.6997397038808
1.0,3.0,540,353.8068022617504
1.0,3.0,555,344.2248028468215
1.0,3.0,570,333.26670494246423
1.0,3.0,585,322.1704248056101
1.0,3.0,600,311.9807563034992
1.0,3.0,615,303.4751692064632
1.0,3.0,630,297.13796003882203
1.0,3.0,645,293.17818313315064
1.0,3.0,660,291.5802253192055
1.0,3.0,675,292.1727115241934
1.0,3.0,690,294.7015567370307
1.0,3.0,705,298.89558379317214
1.0,3.0,720,304.51702656279
1.0,3.0,735,311.3932965078941
1.0,3.0,750,319.4297870082489
1.0,3.0,765,328.6058310605051
1.0,3.0,780,338.9572063954807
1.0,3.0,795,350.549041738542
1.0,3.0,810,363.4429548332598
1.0,3.0,825,377.66204336963875
1.0,3.0,840,393.15713500554637
1.0,3.0,855,409.7775299290872
1.0,3.0,870,427.249279999588
1.0,3.0,885,445.16372760892
1.0,3.0,900,462.9784597428061
1.0,3.0,915,480.03194887830045
1.0,3.0,930,495.5719578941879
1.0,3.0,945,508.7963704559579
1.0,3.0,960,518.9036336443779
1.0,3.0,975,525.1486739112347
1.0,3.0,990,526.8991864333523
1.0,3.0,1005,523.6867832427697
1.0,3.0,1020,515.247727309831
1.0,3.0,1035,501.5488910084631
1.0,3.0,1050,482.7960653848813
1.0,3.0,1065,459.42362414524274
1.0,3.0,1080,432.0665606920946
1.0,3.0,1095,401.51779176393853
1.0,3.0,1110,368.67510397104803
1.0,3.0,1125,334.4830210681259
1.0,3.0,1140,299.8750952100039
1.0,3.0,1155,265.7216848263161
1.0,3.0,1170,232.78728245338135
1.0,3.0,1185,201.70007799165694
1.0,3.0,1200,172.93490419930527
1.0,3.0,1215,146.80922894812372
1.0,3.0,1230,123.49061537784232
1.0,3.0,1245,103.0131905110283
1.0,3.0,1260,85.30019965263892
1.0,3.0,1275,70.18966555111793
1.0,3.0,1290,57.460451619251366
1.0,3.0,1305,46.856547262807545
1.0,3.0,1320,38.108037917831275
1.0,3.0,1335,30.947887065593008
1.0,3.0,1350,25.12425763184166
1.0,3.0,1365,20.40857975025824
1.0,3.0,1380,16.599904687453826
1.0,3.0,1395,13.526270651743642
1.0,3.0,1410,11.043864266742318
1.0,3.0,1425,9.034721863311528
1.0,5.0,0,6.546707623858825
1.0,5.0,15,8.00707833589671
1.0,5.0,30,9.75665503215214
1.0,5.0,45,11.845649259047077
1.0,5.0,60,14.33307375780266
1.0,5.0,75,17.289758033674456
1.0,5.0,90,20.80340475073117
1.0,5.0,105,24.98698393636279
1.0,5.0,120,29.992309175344367
1.0,5.0,135,36.03120646358075
1.0,5.0,150,43.407092048829774
1.0,5.0,165,52.55971300736229
1.0,5.0,180,64.12483818938148
1.0,5.0,195,79.00831106482636
1.0,5.0,210,98.4696541382341
1.0,5.0,225,124.20421838840744
1.0,5.0,240,158.40518047752386
1.0,5.0,255,203.77887224942404
1.0,5.0,270,263.4813470295265
1.0,5.0,285,340.9438848146513
1.0,5.0,300,439.56353936427246
1.0,5.0,315,562.2540091153537
1.0,5.0,330,710.8818348171685
1.0,5.0,345,885.6494196398087
