id,cycle,phases
1,150,"[{""from_link"": 67849, ""to_link"": 67939, ""t_start"": 0, ""t_end"": 99, ""type"": ""straight""}, {""from_link"": 67849, ""to_link"": 67940, ""t_start"": 0, ""t_end"": 99, ""type"": ""straight""}, {""from_link"": 67803, ""to_link"": -67573, ""t_start"": 0, ""t_end"": 99, ""type"": ""straight""}, {""from_link"": 67803, ""to_link"": 67715, ""t_start"": 0, ""t_end"": 99, ""type"": ""straight""}, {""from_link"": -67939, ""to_link"": 67940, ""t_start"": 51, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -67939, ""to_link"": 67715, ""via_link"": -67804, ""t_start"": 51, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -67939, ""to_link"": -67573, ""via_link"": -67804, ""t_start"": 51, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 67573, ""to_link"": 67715, ""t_start"": 51, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 67573, ""to_link"": 67940, ""via_link"": 67804, ""t_start"": 51, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 67573, ""to_link"": 67939, ""via_link"": 67804, ""t_start"": 51, ""t_end"": 0, ""type"": ""straight""}]"
2,150,"[{""from_link"": 69021, ""to_link"": 69405, ""t_start"": 0, ""t_end"": 75, ""type"": ""straight""}, {""from_link"": 69021, ""to_link"": 69406, ""t_start"": 0, ""t_end"": 75, ""type"": ""straight""}, {""from_link"": 68992, ""to_link"": 69302, ""t_start"": 0, ""t_end"": 75, ""type"": ""straight""}, {""from_link"": 69175, ""to_link"": 68854, ""t_start"": 0, ""t_end"": 75, ""type"": ""straight""}, {""from_link"": 69073, ""to_link"": 68679, ""t_start"": 0, ""t_end"": 75, ""type"": ""straight""}, {""from_link"": 69073, ""to_link"": -68324, ""t_start"": 0, ""t_end"": 75, ""type"": ""straight""}, {""from_link"": -69405, ""to_link"": 69406, ""t_start"": 75, ""t_end"": 75, ""type"": ""straight""}, {""from_link"": -69405, ""to_link"": 69302, ""via_link"": -69303, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -69405, ""to_link"": -68324, ""via_link"": -207553, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -69405, ""to_link"": 68679, ""via_link"": -207553, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -69405, ""to_link"": 68854, ""via_link"": -138479, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 68324, ""to_link"": 68679, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 68324, ""to_link"": 68854, ""via_link"": 69074, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 68324, ""to_link"": 69302, ""via_link"": 69074, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 68324, ""to_link"": 69406, ""via_link"": 69074, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 68324, ""to_link"": 69405, ""via_link"": 69074, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}]"
3,150,"[{""from_link"": 69302, ""to_link"": 69640, ""via_link"": 69609, ""t_start"": 0, ""t_end"": 75, ""type"": ""straight""}, {""from_link"": 69443, ""to_link"": 69182, ""via_link"": 69377, ""t_start"": 0, ""t_end"": 75, ""type"": ""straight""}, {""from_link"": 69508, ""to_link"": 69175, ""via_link"": 69481, ""t_start"": 0, ""t_end"": 75, ""type"": ""straight""}, {""from_link"": 69443, ""to_link"": 69640, ""via_link"": 69444, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 69443, ""to_link"": 69723, ""via_link"": 69444, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 69523, ""to_link"": 69175, ""via_link"": 69648, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 69523, ""to_link"": 69182, ""via_link"": 69648, ""t_start"": 75, ""t_end"": 0, ""type"": ""straight""}]"
4,150,"[{""from_link"": 67940, ""to_link"": 68354, ""t_start"": 0, ""t_end"": 99, ""type"": ""straight""}, {""from_link"": 67940, ""to_link"": 68355, ""t_start"": 0, ""t_end"": 99, ""type"": ""straight""}, {""from_link"": 68234, ""to_link"": 67803, ""t_start"": 0, ""t_end"": 99, ""type"": ""straight""}, {""from_link"": 67968, ""to_link"": 67803, ""t_start"": 51, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 67968, ""to_link"": 68355, ""via_link"": 68233, ""t_start"": 51, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 67968, ""to_link"": 68354, ""via_link"": 68233, ""t_start"": 51, ""t_end"": 0, ""type"": ""straight""}]"
5,150,"[{""from_link"": 67336, ""to_link"": 65782, ""t_start"": 0, ""t_end"": 109, ""type"": ""straight""}, {""from_link"": 67336, ""to_link"": -67201, ""t_start"": 0, ""t_end"": 109, ""type"": ""straight""}, {""from_link"": 67336, ""to_link"": -67201, ""t_start"": 41, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 67657, ""to_link"": 65782, ""t_start"": 41, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 66719, ""to_link"": 67628, ""via_link"": 67201, ""t_start"": 41, ""t_end"": 0, ""type"": ""straight""}]"
6,150,"[{""from_link"": 65528, ""to_link"": 66826, ""t_start"": 0, ""t_end"": 101, ""type"": ""straight""}, {""from_link"": 65528, ""to_link"": 66827, ""t_start"": 0, ""t_end"": 101, ""type"": ""straight""}, {""from_link"": 65528, ""to_link"": -66714, ""t_start"": 0, ""t_end"": 101, ""type"": ""straight""}, {""from_link"": -66826, ""to_link"": 66827, ""t_start"": 49, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -66826, ""to_link"": -66714, ""t_start"": 49, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 66714, ""to_link"": 66827, ""t_start"": 49, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 66714, ""to_link"": 66826, ""t_start"": 49, ""t_end"": 0, ""type"": ""straight""}]"
7,150,"[{""from_link"": 64411, ""to_link"": 64543, ""via_link"": 64452, ""t_start"": 0, ""t_end"": 72, ""type"": ""straight""}, {""from_link"": 64421, ""to_link"": 64300, ""via_link"": 64333, ""t_start"": 0, ""t_end"": 72, ""type"": ""straight""}, {""from_link"": 64219, ""to_link"": 64543, ""via_link"": 64332, ""t_start"": 0, ""t_end"": 35, ""type"": ""straight""}, {""from_link"": 64219, ""to_link"": 64451, ""via_link"": 64332, ""t_start"": 0, ""t_end"": 35, ""type"": ""straight""}, {""from_link"": 64542, ""to_link"": 64236, ""via_link"": 64422, ""t_start"": 0, ""t_end"": 43, ""type"": ""straight""}, {""from_link"": 64542, ""to_link"": 64300, ""via_link"": 64422, ""t_start"": 0, ""t_end"": 43, ""type"": ""straight""}]"
8,90,"[{""from_link"": 74695, ""to_link"": 74713, ""t_start"": 0, ""t_end"": 50, ""type"": ""straight""}, {""from_link"": 74879, ""to_link"": 74829, ""t_start"": 62, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 74879, ""to_link"": 74947, ""via_link"": 74877, ""t_start"": 62, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 74909, ""to_link"": 74947, ""t_start"": 0, ""t_end"": 62, ""type"": ""straight""}, {""from_link"": 74878, ""to_link"": 74829, ""t_start"": 0, ""t_end"": 62, ""type"": ""straight""}]"
9,80,"[{""from_link"": 70791, ""to_link"": 71237, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": 70791, ""to_link"": 71306, ""via_link"": 71258, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": 70791, ""to_link"": 71308, ""via_link"": 71258, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": -71306, ""to_link"": 71308, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": -71306, ""to_link"": 71259, ""via_link"": -71258, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": -71306, ""to_link"": -70791, ""via_link"": -71258, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": 71075, ""to_link"": 71306, ""via_link"": 71307, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 71075, ""to_link"": 71308, ""via_link"": 71307, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 71075, ""to_link"": -70791, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 71259, ""to_link"": -70791, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 71259, ""to_link"": -71705, ""via_link"": 71237, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 71259, ""to_link"": 71306, ""via_link"": 71258, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}]"
10,60,"[{""from_link"": -67478, ""to_link"": 67117, ""t_start"": 0, ""t_end"": 35, ""type"": ""straight""}, {""from_link"": -67478, ""to_link"": -67282, ""t_start"": 0, ""t_end"": 35, ""type"": ""straight""}, {""from_link"": 67282, ""to_link"": 67478, ""t_start"": 0, ""t_end"": 35, ""type"": ""straight""}]"
