from_node,via_node,to_node,modes,penalty
"40192","40193","40193","c,h","9999999"
"40463","40193","40193","c,h","9999999"
"40651","40463","40463","c,h","9999999"
"40283","40463","40463","c,h","9999999"
"40602","40832","40832","c,h","9999999"
"42515","42547","42546","c,h","9999999"
"42679","42829","42679","c,h","9999999"
"42692","42829","42679","c,h","9999999"
"42692","42829","42713","c,h","9999999"
"44945","45165","45165","c,h","9999999"
"45275","45165","45165","c,h","9999999"
"45972","46538","46856","c,h","9999999"
"45972","46538","46538","c,h","9999999"
"46577","46584","46584","c,h","9999999"
"46584","46598","46577","c,h","9999999"
"46598","46636","46652","c,h","9999999"
"46856","46538","46538","c,h","9999999"
"46538","46876","46538","c,h","9999999"
"47027","47308","47308","c,h","9999999"
"47412","47443","47443","c,h","9999999"
"47340","47444","47466","c,h","9999999"
"47444","47443","47412","c,h","9999999"
"47749","47652","47579","c,h","9999999"
"48721","48660","48660","c,h","9999999"
"49040","49318","49318","c,h","9999999"
"49357","49428","49428","c,h","9999999"
"49421","49428","49428","c,h","9999999"
"49215","49441","48835","c,h","9999999"
"49428","49518","49518","c,h","9999999"
"49555","49369","49369","c,h","9999999"
"49369","49550","49369","c,h","9999999"
"49519","49518","49518","c,h","9999999"
"49614","49615","49615","c,h","9999999"
"49611","49594","49594","c,h","9999999"
"49538","49929","49929","c,h","9999999"
"50452","50778","50503","c,h","9999999"
"50452","50778","50983","c,h","9999999"
"50503","50778","50778","c,h","9999999"
"49702","50973","56377","c,h","9999999"
"49702","50973","50973","c,h","9999999"
"50971","100060122","45575","c,h","9999999"
"50983","50778","50778","c,h","9999999"
"51382","51383","51383","c,h","9999999"
"51555","50989","50989","c,h","9999999"
"52025","52022","52022","c,h","9999999"
"52208","52177","52177","c,h","9999999"
"52197","52291","52291","c,h","9999999"
"52937","52831","52831","c,h","9999999"
"52122","53040","52106","c,h","9999999"
"53047","53098","53098","c,h","9999999"
"53133","53102","52699","c,h","9999999"
"50977","53191","53191","c,h","9999999"
"50977","100060119","50977","c,h","9999999"
"53191","53098","53098","c,h","9999999"
"53191","53098","53047","c,h","9999999"
"53098","53224","53098","c,h","9999999"
"50963","53191","53191","c,h","9999999"
"53224","50963","100060121","c,h","9999999"
"53387","50963","50963","c,h","9999999"
"53981","54074","53943","c,h","9999999"
"54104","53868","53868","c,h","9999999"
"53737","54118","53441","c,h","9999999"
"53448","53678","53678","c,h","9999999"
"54062","54948","54949","c,h","9999999"
"54971","54736","54345","c,h","9999999"
"54496","55056","55056","c,h","9999999"
"54882","55248","55198","c,h","9999999"
"55164","55200","55138","c,h","9999999"
"54318","55570","55570","c,h","9999999"
"55533","55694","55694","c,h","9999999"
"55694","55733","55676","c,h","9999999"
"55877","55934","55934","c,h","9999999"
"55890","55960","55977","c,h","9999999"
"55890","55960","55960","c,h","9999999"
"55968","55570","54318","c,h","9999999"
"55968","55570","55570","c,h","9999999"
"55570","55922","55922","c,h","9999999"
"55570","55922","55570","c,h","9999999"
"55932","55977","55922","c,h","9999999"
"55932","55977","55977","c,h","9999999"
"55922","55977","55977","c,h","9999999"
"55922","55977","55922","c,h","9999999"
"56032","55922","55922","c,h","9999999"
"56032","55922","55570","c,h","9999999"
"55977","55960","55960","c,h","9999999"
"55977","55960","55977","c,h","9999999"
"55960","56147","55960","c,h","9999999"
"56399","56418","56261","c,h","9999999"
"56377","50973","50973","c,h","9999999"
"50973","56809","50973","c,h","9999999"
"56944","56966","56966","c,h","9999999"
"57890","57992","57992","c,h","9999999"
"58113","57643","57512","c,h","9999999"
"58280","58281","58281","c,h","9999999"
"58532","58479","58445","c,h","9999999"
"58957","58549","58549","c,h","9999999"
"59031","58935","58935","c,h","9999999"
"59084","58802","58802","c,h","9999999"
"59221","59253","59244","c,h","9999999"
"59221","59253","59253","c,h","9999999"
"59221","59244","59244","c,h","9999999"
"59244","59253","59244","c,h","9999999"
"59244","59253","59221","c,h","9999999"
"59290","59416","59290","c,h","9999999"
"59290","59417","59290","c,h","9999999"
"60195","60237","60237","c,h","9999999"
"60180","60217","60217","c,h","9999999"
"60436","60157","60436","c,h","9999999"
"61645","60740","60740","c,h","9999999"
"61386","61720","61222","c,h","9999999"
"62324","62334","62214","c,h","9999999"
"62324","62334","62334","c,h","9999999"
"100060118","50977","50977","c,h","9999999"
"100060123","50977","50977","c,h","9999999"
"59337","59183","59183","c,h","9999999"
"59183","59244","59183","c,h","9999999"
"59587","59606","59606","c,h","9999999"
"61187","61325","61187","c,h","9999999"
"61187","61270","61187","c,h","9999999"
"56944","56966","56966","c,h","9999999"
"57890","57992","57992","c,h","9999999"
"58113","57643","57512","c,h","9999999"
"58280","58281","58281","c,h","9999999"
"58532","58479","58445","c,h","9999999"
"58957","58549","58549","c,h","9999999"
"59031","58935","58935","c,h","9999999"
"59084","58802","58802","c,h","9999999"
"59221","59253","59244","c,h","9999999"
"59221","59253","59253","c,h","9999999"
"59221","59244","59244","c,h","9999999"
"59244","59253","59244","c,h","9999999"
"59244","59253","59221","c,h","9999999"
"59290","59416","59290","c,h","9999999"
"59290","59417","59290","c,h","9999999"
"60195","60237","60237","c,h","9999999"
"60180","60217","60217","c,h","9999999"
"60436","60157","60436","c,h","9999999"
"61645","60740","60740","c,h","9999999"
"61386","61720","61222","c,h","9999999"
"62324","62334","62214","c,h","9999999"
"62324","62334","62334","c,h","9999999"
"49181","49614","49614","c,h","9999999"
"49181","49614","49614","c,h","9999999"
"49181","49615","49615","c,h","9999999"
"49796","49803","49803","c,h","9999999"
"49550","49614","49550","c,h","9999999"
"57890","57992","57992","c,h","9999999"
"58125","57962","57992","c,h","9999999"
"58104","57824","57962","c,h","9999999"
"58634","58846","58846","c,h","9999999"
"58619","58993","58993","c,h","9999999"
"53224","50963","50963","c,h","9999999"
"40973","42134","40973","c,h","9999999"
"40973","42135","40651","c,h","9999999"
"47356","48834","47356","c,h","9999999"
"47356","48835","44764","c,h","9999999"
