id,from_node,via_node,to_node,penalty
0,305085972,395229033,305086290,9999999
1,1235826664,372721682,1200136283,9999999
2,1236600905,1236600876,372717154,9999999
3,2371678192,262122806,372717154,9999999
4,280231011,279549197,1088164559,9999999
5,901747761,321841042,901748787,9999999
6,1803896277,2316535097,9552006786,9999999
7,289941986,706162849,2295094053,9999999
8,305100900,394747230,400700288,9999999
9,356949232,373112567,356949232,9999999
10,10734757314,10734709699,1526175206,9999999
11,304462433,304462432,248681273,9999999
12,5208022724,5208018203,9552006349,9999999
13,252938429,304456782,304456783,9999999
14,5208022724,9552006013,5208022724,9999999
15,4719281327,4719281333,302977422,9999999
16,320037586,2390153653,1119847011,9999999
17,10734709696,10734709699,1526175206,9999999
18,298924183,298923888,552542371,9999999
19,1342065100,10934602827,1526175234,9999999
20,9552006095,12140564317,12140564323,9999999
21,279549197,280231011,1088164559,9999999
22,298920165,552542371,298920707,9999999
23,428062792,298919504,298921279,9999999
24,372721676,2526568151,372724613,9999999
25,729702341,253282306,253282305,9999999
26,9552006088,9552006095,12140564317,9999999
27,394744155,394744156,157435929,9999999
28,369688016,253786445,1235826664,9999999
29,289942106,2295094056,297384976,9999999
30,373112557,373112567,306725814,9999999
31,332450606,400700292,305100900,9999999
32,394747230,305100899,394747230,9999999
33,920281633,920281559,958231014,9999999
34,1554560810,1812356469,1812356446,9999999
35,252938434,391287247,391287245,9999999
36,1762553240,157454155,394733458,9999999
37,246579179,252528808,252528811,9999999
38,395229033,395229032,395229033,9999999
39,2318233360,1803896310,2318233360,9999999
40,262112504,262112573,262112814,9999999
41,277730486,277730488,277730489,9999999
42,1803896268,2318233350,3066771541,9999999
43,294116617,257737386,500179084,9999999
44,5208022724,9552006013,9552005961,9999999
45,2312074608,248678326,289942103,9999999
46,305090261,305090246,395229032,9999999
47,286718405,1200136612,399548451,9999999
48,9727197376,306686547,306517746,9999999
49,2316535101,2316535104,7966149558,9999999
50,248681267,2312074608,297384976,9999999
51,661041316,2318233360,661041316,9999999
52,400700292,305100900,394747230,9999999
53,305100899,332450606,400700292,9999999
54,373112557,373112567,356949232,9999999
55,248837257,264251858,270306370,9999999
56,305092580,324201291,356968117,9999999
57,298924989,10895705526,298924989,9999999
58,2371678175,262122806,372717154,9999999
59,306686175,306685890,367903555,9999999
60,330718870,298571322,298570967,9999999
61,248683379,2691984090,12173599784,9999999
62,303203448,303203349,303203448,9999999
63,253708552,262121285,253708552,9999999
64,157436051,394739374,298924499,9999999
65,303199319,303199225,260980545,9999999
66,399548451,298573926,399548461,9999999
67,262122456,262121285,262122455,9999999
68,1200136744,1200136509,305091450,9999999
69,2316535097,9552006786,2316535097,9999999
70,902586741,1812356436,902586685,9999999
71,314388286,314388173,314388170,9999999
72,270302535,1340594349,248837256,9999999
73,305092916,305092914,356969059,9999999
74,333709132,10929589567,304463093,9999999
75,394747230,400700288,314390740,9999999
76,7951291376,297382357,297382355,9999999
77,1092776125,246579171,246665999,9999999
78,1236041358,304452858,1236041389,9999999
79,1200136395,1200136283,372721682,9999999
80,1200136395,1200136283,1200136743,9999999
81,1812356436,1812356446,1812356438,9999999
82,332450606,400700292,305100899,9999999
83,5208022724,5208018203,5208018199,9999999
84,246781223,246666011,246666016,9999999
85,260980928,157436140,260980545,9999999
86,1179362558,157435929,394744156,9999999
87,1824805868,304463088,561206603,9999999
88,391278624,250903507,253282231,9999999
89,428214536,5208018203,5208022724,9999999
90,1824805868,304463088,304463974,9999999
91,262112318,2390161049,262112736,9999999
92,1119847011,262122717,319981921,9999999
93,305087528,305087527,1235831232,9999999
94,248681287,248681293,246579174,9999999
95,262122456,262121285,262122459,9999999
96,552542353,298923970,552542349,9999999
97,391278626,253708639,330723929,9999999
98,320037459,319982167,319982233,9999999
99,1762553236,394716696,394734004,9999999
100,1342064947,1342065148,1858257436,9999999
101,1235826664,372721682,1235826685,9999999
102,305087528,305087527,305087949,9999999
103,400700288,332450606,400700292,9999999
104,356948359,356948369,356948359,9999999
105,394747230,305100899,332450606,9999999
106,298921077,2472834525,2472834509,9999999
107,399548451,298573926,422302136,9999999
108,330719598,298570967,330718891,9999999
109,410792701,1092776135,246579178,9999999
110,248837257,264251858,270308404,9999999
111,395229032,305090246,395229032,9999999
112,1200136729,286718211,1200136724,9999999
113,260980928,157436140,157436135,9999999
114,394744155,314388176,309030872,9999999
115,391278624,250903507,1179067024,9999999
116,260981081,8266487749,12656812636,9999999
117,9552005983,1803896268,2318233350,9999999
118,8827032399,5336920282,5336920281,9999999
119,399548451,298573926,399548451,9999999
120,321845860,321845535,321845534,9999999
121,2312074608,248678326,2295094056,9999999
122,314388286,314388173,394744155,9999999
123,303199319,303199225,298923215,9999999
124,9727197376,306686547,1913404787,9999999
125,298923896,298923892,309030060,9999999
126,157436051,394739374,157436051,9999999
127,1332881095,357694342,262122717,9999999
128,303199319,303199225,303199237,9999999
129,13532437451,330718979,298573740,9999999
130,9552005983,1803896268,7962489435,9999999
131,260980545,303199225,260980545,9999999
132,372721676,1389060301,372721676,9999999
133,394747230,305100899,400700292,9999999
134,401964949,401964951,304453996,9999999
135,253281902,248837257,264251858,9999999
136,1236600876,372717177,319981453,9999999
137,298573944,298573943,298919339,9999999
138,294116617,257737386,257737388,9999999
139,618934330,306726391,1676898017,9999999
140,552542353,298923970,298923971,9999999
141,305090261,305090246,305088846,9999999
142,314388061,314388170,314388243,9999999
143,286718187,372727140,286718187,9999999
144,9551945299,2316535101,298920995,9999999
145,298923896,298923892,298923896,9999999
146,305092916,305092914,305094067,9999999
147,5336920282,5336920281,5336920282,9999999
148,400700288,305100899,332450606,9999999
149,372727140,1200136655,1200136395,9999999
150,963153250,963153138,1644367351,9999999
151,248837256,270302537,270302539,9999999
152,1125630203,286413994,330718976,9999999
153,324202024,157454383,157454371,9999999
154,400700288,305100899,400700288,9999999
155,8827032399,5336920282,1641271266,9999999
156,1957342745,305094070,305094071,9999999
157,8606856774,286718390,286718407,9999999
158,356949232,373112557,373112567,9999999
159,3066771541,2318233350,3066771541,9999999
160,262112504,2390161049,262112130,9999999
161,13134478900,12051539178,250909147,9999999
162,356948359,356948369,356948470,9999999
163,2316535104,7966149558,2605998706,9999999
164,1679000303,306516057,1679000303,9999999
165,330718976,330718978,3623974039,9999999
166,321845534,901749150,321841042,9999999
167,372721676,2526568151,372721676,9999999
168,972145843,624435895,972145843,9999999
169,298922083,1961914186,1213228328,9999999
170,305092702,305091450,305092582,9999999
171,1092776125,246579171,12175401201,9999999
172,1200136384,1200136612,286718405,9999999
173,5336920282,5336920281,5336920277,9999999
174,394733448,394733456,394733451,9999999
175,1236600905,1236600876,372717177,9999999
176,262122457,262122459,262121834,9999999
177,9551945299,2316535101,2316535104,9999999
178,286718405,1200136612,1200136673,9999999
179,372727140,1200136655,1200136228,9999999
180,1200136516,305099399,1200136581,9999999
181,400700288,305100899,400700292,9999999
182,311074515,277730483,277730510,9999999
183,356949232,373112557,356949232,9999999
184,260980545,303199225,298923215,9999999
185,305100584,305100589,305100587,9999999
186,8606856774,286718390,305090143,9999999
187,1179066938,252993151,391278623,9999999
188,1812356468,1812356475,1812356477,9999999
189,305092580,324201291,305092562,9999999
190,298922083,1961914186,706012726,9999999
191,277730489,373111598,277730489,9999999
192,330718976,330718978,298571109,9999999
193,428214533,9552006349,5208018203,9999999
194,2371678175,262122806,2371678175,9999999
195,157436051,394739374,1641271301,9999999
196,372727140,1200136655,1200136367,9999999
197,1175956348,306725814,373112567,9999999
198,306516057,1679000303,617994588,9999999
199,1200136612,286718405,1200136673,9999999
200,1693079586,372782832,373834174,9999999
201,297382376,297382355,257571082,9999999
202,395229032,305090246,305088846,9999999
203,398680370,398804402,398680370,9999999
204,920281560,1957360642,1957360641,9999999
205,305094077,356969064,305094077,9999999
206,158660548,250903498,252940228,9999999
207,9552007047,9552007048,9552007047,9999999
208,7966149558,2605998706,1803896310,9999999
209,277730488,277730489,373111598,9999999
210,369688016,253786445,372717286,9999999
211,251780175,262113531,262118540,9999999
212,262122457,262122459,262121285,9999999
213,246665999,246666016,246666018,9999999
214,372717177,319981453,372717177,9999999
215,286415350,305086496,305086488,9999999
216,246666018,246665999,246666016,9999999
217,1762553240,157454155,1762553236,9999999
218,298923892,298923896,298923892,9999999
219,729633055,253282230,253281901,9999999
