id,from_node,via_node,to_node,penalty
0,980648596,2408601249,980648308,9999999
1,737471539,1434276467,737471776,9999999
2,245951610,5171886511,245951610,9999999
3,105726417,1081274229,368197299,9999999
4,242697678,242697707,683277569,9999999
5,361520975,57167221,57167240,9999999
6,2116856765,2116854871,2116856765,9999999
7,11878279749,60481323,32339723,9999999
8,242697261,242697296,242697501,9999999
9,361520975,57167204,57167196,9999999
10,11878279749,60481323,11878279749,9999999
11,60481098,361519572,361518477,9999999
12,5142926764,5142926761,5142926764,9999999
13,2535286032,343739379,388381358,9999999
14,732739771,732739762,60481048,9999999
15,2152160258,2152160254,359540894,9999999
16,5136270944,57167289,117673606,9999999
17,246816285,389140868,388409562,9999999
18,2959853394,2959853387,10046888054,9999999
19,355171712,5142926761,5142926764,9999999
20,1693175662,361463809,57167028,9999999
21,5073991059,60184887,5073991059,9999999
22,237304990,353274842,237304999,9999999
23,5085750498,5081132663,5085750488,9999999
24,60184882,3100806597,60184882,9999999
25,343858298,4172760341,343858298,9999999
26,4172760341,343858298,4172760341,9999999
27,60184958,60184882,60184958,9999999
28,980648632,1535837373,980648443,9999999
29,5073991057,5073991055,5073991057,9999999
30,105727013,343148426,730963825,9999999
31,355171712,5142926761,355171712,9999999
32,242697372,365342711,242697372,9999999
33,12623144892,12623144894,357945365,9999999
34,343694707,343694708,10926615375,9999999
35,514372629,514372637,514372641,9999999
36,393727188,1174987755,343694707,9999999
37,237304990,353274842,10046888055,9999999
38,683277569,242697707,242697540,9999999
39,737471776,118437560,118437581,9999999
40,118436963,370575026,118436946,9999999
41,737471776,118437560,737471504,9999999
42,60481265,60481796,2540033374,9999999
43,242697426,365354811,242697492,9999999
44,370298238,370298235,117652850,9999999
45,357964035,357964044,118437733,9999999
46,357964027,118437733,357964027,9999999
47,372925656,372925653,1535830865,9999999
48,6171143629,828422637,115222650,9999999
49,2116854871,2116856765,2116854871,9999999
50,2116854874,2116854871,2116856765,9999999
51,357964016,357964010,357964035,9999999
52,389096225,389140866,981463786,9999999
53,60481265,60481796,360340637,9999999
54,737471504,1434276473,118437075,9999999
55,13588673071,13588673037,13588673068,9999999
56,1531257653,343148426,105727013,9999999
57,2294053420,2147325399,370298235,9999999
58,737471776,737471539,1434276473,9999999
59,737471504,737471539,1434276473,9999999
60,12623144894,357945365,357945382,9999999
61,359540896,118437527,359540896,9999999
62,6070613389,57166930,57166944,9999999
63,917231605,1531257653,343148426,9999999
64,107819342,32432580,107819342,9999999
65,12857240851,361465225,118436973,9999999
66,973561946,973561957,105727137,9999999
67,12511093086,5152416805,369821391,9999999
68,107415413,361518479,60481119,9999999
69,2535372748,343858569,2535372748,9999999
70,2959853385,2959853388,2959853383,9999999
71,2116856765,245951608,2116856765,9999999
72,5300978524,5300978542,5152416807,9999999
73,107415413,361518479,366693297,9999999
74,2959853388,2959853385,2959853383,9999999
75,357964035,118437733,357964044,9999999
76,343695959,362230988,10560142368,9999999
77,363723870,363723791,363723814,9999999
78,10926615371,117652509,7628995386,9999999
79,357964035,357964044,520470435,9999999
80,2959852038,2959852037,10046888054,9999999
81,58776095,60184882,58776095,9999999
82,363723855,363723787,363723852,9999999
83,12511841686,6070613389,57166878,9999999
84,3234466105,4141441609,3234466097,9999999
85,363723870,363723791,117652419,9999999
86,118437527,359540896,118437527,9999999
87,242697426,365354811,245951440,9999999
88,2535286032,2535286035,343862810,9999999
89,118436912,118436902,361465997,9999999
90,60481347,60481251,60481249,9999999
91,737471776,737471539,1434276467,9999999
92,12623144892,3234466105,3234466099,9999999
93,242697372,365342711,32432580,9999999
94,3575113099,3575113101,107771150,9999999
95,242697372,365342711,242697405,9999999
96,60481263,359558609,359558599,9999999
97,357964035,118437733,357964016,9999999
98,588089077,588089061,588089088,9999999
99,6415859550,2959850831,2959852038,9999999
100,244489688,5085750496,5085750498,9999999
101,917231575,1531257671,1815127224,9999999
102,5300978543,5300978539,5300978541,9999999
103,2959853383,2959853392,12121798129,9999999
104,1791491787,60184898,1791491802,9999999
105,1518160657,60481249,5103089136,9999999
106,370296573,370297767,32432619,9999999
107,10926615374,393727176,7628995385,9999999
108,2116856765,2116852836,2116852837,9999999
109,107770637,361519572,107770637,9999999
110,32585725,388409562,32585726,9999999
111,588089076,588089063,588089077,9999999
112,107819342,245951444,107819342,9999999
113,60481096,60481095,60481088,9999999
114,980648632,1535837373,372925647,9999999
115,244489688,5085750496,245951619,9999999
116,118436912,118436902,361466899,9999999
117,2959852038,2959852037,2959852033,9999999
118,343145953,1518116148,343484122,9999999
119,343148426,105727013,343148426,9999999
120,105727038,105727013,2408601248,9999999
121,1081274273,1081274268,357950175,9999999
122,57167196,57167204,57167221,9999999
123,1791491802,60184898,1791491802,9999999
124,104345315,104345320,104345322,9999999
125,13659129557,3100806597,13659129557,9999999
126,389096229,389140867,246816281,9999999
127,245951610,6058438477,245951610,9999999
128,2381846213,6058438477,115004570,9999999
129,245951444,107819342,245951444,9999999
130,10069539383,10069539384,10069539379,9999999
131,357950168,359549770,357950168,9999999
132,980648596,2408601249,980648361,9999999
133,3575113099,3575113112,107771150,9999999
134,683277569,242697707,683277569,9999999
135,5300978533,5300978538,5300978535,9999999
136,363723855,363723787,12906431410,9999999
137,242697304,242697344,242697304,9999999
138,118436963,370575026,361471410,9999999
139,60184882,58776095,60184882,9999999
140,343859248,32339739,32339731,9999999
141,2959852036,2959852033,2959850831,9999999
142,973561946,973561957,1531257659,9999999
143,107819342,32432580,365342444,9999999
144,245951571,245951608,245951571,9999999
145,2116854874,2116854867,1824569572,9999999
146,7628995400,10926615368,7628995388,9999999
147,683277569,242697707,242697288,9999999
148,361520975,57167221,104345315,9999999
149,32339746,343859665,32339747,9999999
150,10560142365,362230988,10560142368,9999999
151,588089076,588089063,588089071,9999999
152,107770637,361519572,361518477,9999999
153,2959853394,118436795,2959853387,9999999
154,60481063,732739695,359558599,9999999
155,1489887800,1489887787,1489887780,9999999
156,370296573,370297767,11610317706,9999999
157,737471539,1434276467,359540899,9999999
158,12688659958,343473373,344531220,9999999
159,32339750,32339757,32339751,9999999
160,973562000,264260277,973561946,9999999
161,12857240851,361465225,117666781,9999999
162,1489887777,1489887782,1489887786,9999999
163,3522447920,3522456922,359549213,9999999
164,588089076,588089069,3646453612,9999999
165,343858298,343858569,343858298,9999999
166,242697589,364983170,245951564,9999999
167,10069539384,10069539379,10069539380,9999999
168,5142926763,5142926764,5142926761,9999999
169,343148426,730963825,343148426,9999999
170,242697575,242697620,242697582,9999999
171,342325569,342114671,342325571,9999999
172,343148426,1531257653,343148426,9999999
173,5073991059,5073991055,5073991059,9999999
174,3100806597,60184882,3100806597,9999999
175,357964027,118437733,357964044,9999999
176,242697487,242697662,242697489,9999999
177,5142926761,5142926764,5142926761,9999999
178,342402066,343860846,342375929,9999999
179,1081274273,1081274268,1081274341,9999999
180,5073991055,5073991059,5073991055,9999999
181,105727117,105727137,973562000,9999999
182,2116856765,2116852836,2116854874,9999999
183,2537258521,60481280,60481293,9999999
184,246816286,389140877,246816287,9999999
185,105727051,344247830,105727041,9999999
186,365342711,32432580,107819342,9999999
187,3522447920,3522447912,3522460543,9999999
188,6070613389,57166930,6070613389,9999999
189,10069539384,10069539379,10069539384,9999999
190,5300978528,5300978540,5300978530,9999999
191,1791491787,1791491791,2585715083,9999999
192,12623144892,12623144894,12623144893,9999999
193,246816285,389140868,340480471,9999999
194,57167196,57167204,57167196,9999999
195,105727137,105727117,973562000,9999999
196,237305008,271792909,253679629,9999999
197,242697304,242697344,242697360,9999999
198,5073991055,3100806597,13659129557,9999999
199,12511093086,5152416805,5300978539,9999999
200,588089076,588089069,588089063,9999999
201,737471504,737471539,1434276467,9999999
202,343858569,2535372748,343858569,9999999
203,3100806597,13659129557,3100806597,9999999
204,357964027,118437733,357964016,9999999
205,388381486,60481302,388381430,9999999
206,12511841686,6070613389,12511841686,9999999
207,3575113099,3575113112,10046888052,9999999
208,1693175662,361463809,118437006,9999999
209,3575113113,3575113102,3575113110,9999999
210,355171709,343148426,730963825,9999999
211,730963825,343148426,1531257653,9999999
212,12623144892,3234466105,4141441609,9999999
213,5300978543,5300978539,5152416805,9999999
214,588089063,588089071,588089077,9999999
215,12623144894,357945365,12623144892,9999999
216,117652334,363723785,11539289480,9999999
217,2535286032,2535286035,343739379,9999999
218,917231575,1531257671,57224413,9999999
219,57167221,57167240,104345315,9999999
220,242697605,365023445,242697571,9999999
221,12623144892,12623144894,12623144892,9999999
222,343694707,343694708,1174987642,9999999
223,342402066,343860846,60481420,9999999
224,245951608,2116856765,245951608,9999999
225,388381486,60481302,60481418,9999999
226,1174987642,1174987755,343694707,9999999
227,13588673063,13588673047,13588673056,9999999
228,3575113102,3575113113,3575113110,9999999
229,5136270944,57167289,57167240,9999999
230,10926615376,10926615375,7628995387,9999999
231,2152160258,2152160254,118437092,9999999
232,1174987755,393727188,343694707,9999999
233,3575113099,3575113101,3575113102,9999999
234,1174987642,1174987755,393727188,9999999
235,12511093086,5152416805,12511093086,9999999
236,2959853394,2959853387,118436795,9999999
237,357945390,12623144894,12623144892,9999999
238,1434276467,737471776,118437560,9999999
239,12533692236,344244316,344244313,9999999
240,60481063,732739695,732739734,9999999
241,973561946,105727137,973562000,9999999
242,105726442,1081274349,115222646,9999999
243,361520975,57167221,57167204,9999999
244,2959850831,2959852038,287131025,9999999
245,11889833523,1139732170,11889833526,9999999
246,343695959,362230988,343695959,9999999
247,242697575,242697620,2116852837,9999999
248,2294053420,2147325399,7221090538,9999999
249,12511841686,6070613390,12511841686,9999999
250,514372629,514372637,514372633,9999999
251,359549212,60184871,118437416,9999999
252,242697678,242697707,242697540,9999999
253,2959850831,2959852038,2959852037,9999999
254,11662984827,347617978,11662984827,9999999
255,2535286032,343739379,2535286035,9999999
256,1791491795,510625638,1791491787,9999999
257,60481087,242697296,60481087,9999999
258,13659129557,3100806597,60184882,9999999
259,359549212,60184871,359549207,9999999
260,6070613389,12511841686,6070613389,9999999
261,357964016,357964010,237304373,9999999
262,3100806597,5073991055,3100806597,9999999
263,57167240,57167221,104345315,9999999
264,60481079,242697372,242697380,9999999
265,242697678,242697707,242697288,9999999
266,60481105,57167196,57167204,9999999
267,246816282,246816295,389096233,9999999
268,1535830871,973566739,372925675,9999999
269,1791491795,510625638,510624038,9999999
270,32339746,343859665,342375929,9999999
271,60481105,57167196,60481099,9999999
272,588089071,588089063,588089077,9999999
273,5073991055,3100806597,5073991055,9999999
274,245951571,245951608,2116856765,9999999
