package	requirement	version_hint	license_classifier_or_field	download_url	files_copied
joblib	joblib==1.5.3	1.5.3	N/A	https://files.pythonhosted.org/packages/41/f2/d34e8b3a08a9cc79a50b2208a93dce981fe615b64d5a4d4abee421d898df/joblib-1.5.3.tar.gz	1
GDAL	GDAL==${GDAL_VERSION}	latest	N/A	https://raw.githubusercontent.com/OSGeo/gdal/master/LICENSE.TXT	1
shapely	shapely==2.1.2	2.1.2	License :: OSI Approved :: BSD License	https://files.pythonhosted.org/packages/4d/bc/0989043118a27cccb4e906a46b7565ce36ca7b57f5a18b78f4f1b0f72d9d/shapely-2.1.2.tar.gz	1
fiona	fiona==1.10.1	1.10.1	License :: OSI Approved :: BSD License	https://files.pythonhosted.org/packages/51/e0/71b63839cc609e1d62cea2fc9774aa605ece7ea78af823ff7a8f1c560e72/fiona-1.10.1.tar.gz	2
pyproj	pyproj==3.7.2	3.7.2	N/A	https://files.pythonhosted.org/packages/04/90/67bd7260b4ea9b8b20b4f58afef6c223ecb3abf368eb4ec5bc2cdef81b49/pyproj-3.7.2.tar.gz	2
psutil	psutil==7.2.2	7.2.2	BSD-3-Clause	https://files.pythonhosted.org/packages/aa/c6/d1ddf4abb55e93cebc4f2ed8b5d6dbad109ecb8d63748dd2b20ab5e57ebe/psutil-7.2.2.tar.gz	1
pytz	pytz==2026.1.post1	2026.1.post1	License :: OSI Approved :: MIT License	https://files.pythonhosted.org/packages/56/db/b8721d71d945e6a8ac63c0fc900b2067181dbb50805958d4d4661cf7d277/pytz-2026.1.post1.tar.gz	1
numpy	numpy==2.4.4	2.4.4	N/A	https://files.pythonhosted.org/packages/d7/9f/b8cef5bffa569759033adda9481211426f12f53299629b410340795c2514/numpy-2.4.4.tar.gz	24
pandas	pandas==3.0.2	3.0.2	License :: OSI Approved :: BSD License	https://files.pythonhosted.org/packages/da/99/b342345300f13440fe9fe385c3c481e2d9a595ee3bab4d3219247ac94e9a/pandas-3.0.2.tar.gz	2
scipy	scipy==1.17.1	1.17.1	License :: OSI Approved :: BSD License	https://files.pythonhosted.org/packages/7a/97/5a3609c4f8d58b039179648e62dd220f89864f56f7357f5d4f45c29eb2cc/scipy-1.17.1.tar.gz	40
geopandas	geopandas==1.1.3	1.1.3	N/A	https://files.pythonhosted.org/packages/85/ba/8e6b2091878e99e86a36a814dcaeff652ed48bdb03d53e78e15aaa63a914/geopandas-1.1.3.tar.gz	1
polars	polars==1.40.0	1.40.0	License :: OSI Approved :: MIT License	https://files.pythonhosted.org/packages/d9/1b/eea7d6fe6daafc1d784cc0f76c729b28051837ccb2d51ae64a0a3f798142/polars-1.40.0.tar.gz	1
scikit-learn	scikit-learn==1.8.0	1.8.0	N/A	https://files.pythonhosted.org/packages/0e/d4/40988bf3b8e34feec1d0e6a051446b1f66225f8529b9309becaeef62b6c4/scikit_learn-1.8.0.tar.gz	3
psycopg	psycopg==3.3.3	3.3.3	N/A	https://files.pythonhosted.org/packages/d3/b6/379d0a960f8f435ec78720462fd94c4863e7a31237cf81bf76d0af5883bf/psycopg-3.3.3.tar.gz	1
psycopg-binary	psycopg-binary==3.3.3	3.3.3	N/A	https://files.pythonhosted.org/packages/b4/d8/a763308a41e2ecfb6256ba0877d340c2f2b124c8b2746401863d96fa2c7a/psycopg_binary-3.3.3-cp310-cp310-macosx_10_9_x86_64.whl	1
sqlalchemy	sqlalchemy==2.0.49	2.0.49	MIT	https://files.pythonhosted.org/packages/09/45/461788f35e0364a8da7bda51a1fe1b09762d0c32f12f63727998d85a873b/sqlalchemy-2.0.49.tar.gz	2
geoalchemy2	geoalchemy2==0.19.0	0.19.0	N/A	https://files.pythonhosted.org/packages/f1/3e/8b6b15cd6a68bb4472ad865e8ecc83b010f1673a22834a52fa479cabf639/geoalchemy2-0.19.0.tar.gz	2
duckdb	duckdb==1.5.2	1.5.2	License :: OSI Approved :: MIT License	https://files.pythonhosted.org/packages/0c/66/744b4931b799a42f8cb9bc7a6f169e7b8e51195b62b246db407fd90bf15f/duckdb-1.5.2.tar.gz	41
dill	dill==0.4.0	0.4.0	License :: OSI Approved :: BSD License	https://files.pythonhosted.org/packages/12/80/630b4b88364e9a8c8c5797f4602d0f76ef820909ee32f0bacb9f90654042/dill-0.4.0.tar.gz	1
python-snappy	python-snappy>=0.7.3	latest	License :: OSI Approved :: BSD License	https://files.pythonhosted.org/packages/39/66/9185fbb6605ba92716d9f77fbb13c97eb671cd13c3ad56bd154016fbf08b/python_snappy-0.7.3.tar.gz	2
pyarrow	pyarrow==23.0.1	23.0.1	N/A	https://files.pythonhosted.org/packages/88/22/134986a4cc224d593c1afde5494d18ff629393d74cc2eddb176669f234a4/pyarrow-23.0.1.tar.gz	2
blosc	blosc==1.11.4	1.11.4	License :: OSI Approved :: BSD License	https://files.pythonhosted.org/packages/9e/66/3c0e1801d4674582c38f9b009e71c09eb501fc3db591e35436dac15fa7a7/blosc-1.11.4.tar.gz	3
flask	flask==3.1.3	3.1.3	N/A	https://files.pythonhosted.org/packages/26/00/35d85dcce6c57fdc871f3867d465d780f302a175ea360f62533f12b27e2b/flask-3.1.3.tar.gz	4
gunicorn	gunicorn==23.0.0	23.0.0	License :: OSI Approved :: MIT License	https://files.pythonhosted.org/packages/34/72/9614c465dc206155d93eff0ca20d42e1e35afc533971379482de953521a4/gunicorn-23.0.0.tar.gz	2
websockets	websockets==16.0	16.0	N/A	https://files.pythonhosted.org/packages/04/24/4b2031d72e840ce4c1ccb255f693b15c334757fc50023e4db9537080b8c4/websockets-16.0.tar.gz	1
